0,69;1,70;17,70;33,69;0,34
0,69;1,72;18,73;35,73;0,34
0,57;2,57;19,74;36,75;0,19
0,48;9,52;23,67;37,66;0,10
0,52;11,51;22,66;32,64;0,14
0,71;11,52;19,58;26,57;0,34
0,86;12,80;18,76;24,53;0,45
0,89;12,95;17,72;22,56;0,44
0,77;12,88;17,68;21,62;0,28
0,53;11,75;19,70;26,68;0,14
0,49;3,68;17,69;30,68;0,17
0,52;2,66;17,62;32,60;0,18
0,50;1,66;18,67;34,65;0,16
0,56;1,55;18,64;35,62;0,19
0,49;6,40;21,64;36,62;0,16
0,47;11,32;26,67;42,66;0,14
0,64;12,60;28,70;46,69;0,28
0,91;12,67;28,70;44,63;0,47
0,99;12,80;26,73;42,67;0,52
0,88;12,94;26,78;40,78;0,46
0,75;12,94;25,71;39,69;0,34
0,61;6,82;25,66;44,63;0,19
0,45;2,68;22,66;43,65;0,12
0,46;1,66;19,67;38,65;0,15
0,56;0,61;19,64;38,62;0,26
0,49;0,50;19,63;38,61;0,28
0,48;8,52;23,65;39,63;0,20
0,49;10,45;25,65;40,63;0,17
0,75;11,73;24,64;36,62;0,34
0,91;12,73;22,72;33,60;0,54
0,97;12,90;21,73;30,58;0,47
0,87;12,99;20,65;28,53;0,36
0,52;12,90;21,63;30,57;0,12
0,44;5,78;23,62;40,59;0,15
0,47;3,84;24,63;44,60;0,20
0,71;2,93;25,65;49,61;0,30
0,77;1,94;27,70;52,68;0,30
0,60;1,78;28,64;54,62;0,23
0,58;6,83;32,65;57,63;0,18
0,61;7,80;32,66;57,64;0,17
0,70;7,71;28,66;49,65;0,29
0,87;7,69;26,71;44,65;0,45
0,82;7,94;23,77;39,72;0,41
0,78;7,99;22,73;36,69;0,29
0,64;7,91;24,75;40,74;0,18
0,61;2,76;23,74;43,75;0,15
0,47;1,70;22,68;44,67;0,13
0,57;0,64;22,69;44,69;0,33
0,58;0,51;22,68;43,67;0,32
0,54;1,44;22,66;43,64;0,22
0,44;6,40;27,63;47,61;0,12
0,49;8,42;26,65;44,64;0,14
0,76;9,72;25,65;41,61;0,32
0,86;9,78;24,70;39,57;0,40
0,99;9,97;24,75;39,69;0,38
0,71;9,94;24,76;39,75;0,22
0,62;8,84;25,75;42,75;0,20
0,52;3,80;22,70;41,69;0,28
0,59;1,81;20,63;39,60;0,28
0,42;1,76;20,58;40,54;0,15
0,46;0,45;20,56;40,52;0,11
0,41;5,27;23,59;41,56;0,11
0,45;9,24;26,60;44,57;0,14
0,66;10,64;26,58;43,55;0,26
0,90;10,72;25,69;42,59;0,52
0,84;10,79;24,72;39,64;0,51
0,85;10,94;23,72;36,67;0,30
0,59;10,82;26,70;41,68;0,19
0,55;5,73;25,69;46,67;0,17
0,64;2,69;24,65;46,63;0,26
0,71;1,66;23,70;45,69;0,45
0,70;0,67;21,78;42,80;0,39
0,58;0,59;21,79;41,81;0,28
0,61;6,52;24,73;42,74;0,15
0,50;8,62;22,78;36,80;0,11
0,73;9,68;20,83;32,87;0,27
0,85;9,74;19,73;30,66;0,51
0,91;9,88;19,72;29,63;0,51
0,85;9,95;20,66;30,59;0,31
0,63;10,77;25,67;39,65;0,17
0,49;5,75;25,65;45,63;0,17
0,67;3,71;25,64;46,61;0,22
0,76;2,82;25,71;48,68;0,31
0,65;2,77;25,66;48,64;0,24
0,54;2,72;25,62;48,59;0,15
0,48;8,64;29,65;49,63;0,15
0,48;8,62;25,67;41,65;0,18
0,72;8,72;22,62;35,58;0,30
0,72;9,72;20,70;31,57;0,48
0,87;9,94;18,73;28,64;0,33
0,68;9,94;18,70;26,64;0,15
0,54;8,79;23,66;36,62;0,15
0,52;3,79;21,70;40,69;0,13
0,58;1,70;22,73;42,74;0,17
0,72;1,68;22,72;44,72;0,32
0,61;1,73;23,66;44,64;0,22
0,51;2,57;23,66;44,65;0,15
0,49;8,49;27,69;46,69;0,14
0,60;9,51;23,69;38,68;0,16
0,78;9,79;22,70;34,63;0,32
0,78;9,77;20,69;31,56;0,36
0,69;9,85;19,71;28,67;0,22
0,59;9,79;18,70;27,67;0,19
0,52;8,62;22,69;36,69;0,14
0,50;2,52;23,77;43,80;0,12
0,54;1,42;25,69;49,70;0,13
0,58;1,33;28,65;56,63;0,28
0,61;0,26;30,63;60,61;0,22
0,53;5,29;33,64;62,62;0,16
0,57;10,21;37,69;64,68;0,23
0,64;10,30;33,71;56,71;0,21
0,82;11,73;29,68;48,56;0,42
0,77;11,71;26,65;42,52;0,46
0,55;11,76;22,61;35,55;0,20
0,49;11,68;24,62;37,57;0,14
0,46;6,56;24,62;43,59;0,11
0,48;1,39;23,55;43,51;0,12
0,60;1,64;22,64;43,61;0,19
0,59;1,63;22,66;44,64;0,23
0,50;1,45;22,59;43,55;0,16
0,53;5,46;26,58;47,54;0,11
0,47;6,39;26,59;46,55;0,11
0,62;7,40;24,57;41,54;0,23
0,80;7,72;23,68;39,60;0,47
0,86;7,76;22,69;36,65;0,40
0,80;7,88;21,70;34,65;0,29
0,57;7,69;23,67;39,64;0,20
0,46;3,54;22,65;41,62;0,13
0,47;1,40;21,58;41,55;0,14
